URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/citroen-c6-2-2-hdi173-16v-lignage-fap-diesel-gris-08df5622-16e6-45a8-acde-0d44fe009e30,,,,Berline,Occasion,5,,13813,,,05/2007,129 kW (175 CH),Boîte manuelle,2 179 cm³,Diesel,175 g/km (mixte),GRIS C,,Gris,20
https://www.autoscout24.fr/offres/nissan-qashqai-1-2l-dig-t-115ch-acenta-essence-blanc-37980fba-ee1b-4eef-96ba-50ff55dff9f7,,,,SUV/4x4/Pick-Up,Occasion,5,5,2053,3 mois,,06/2014,86 kW (117 CH),Boîte manuelle,1 197 cm³,Essence,129 g/km (mixte),BLANC,,Noir,15
https://www.autoscout24.fr/offres/peugeot-2008-1-2-puretech-82ch-style-essence-gris-fa5a366c-9673-425c-8bef-5cf0b60673ae,,,,SUV/4x4/Pick-Up,Occasion,5,5,1964,3 mois,,12/2017,61 kW (83 CH),Boîte manuelle,1 199 cm³,Essence,114 g/km (mixte),GRIS C,,Noir,19
https://www.autoscout24.fr/offres/volkswagen-touran-1-6-tdi-105ch-bluemotion-fap-confortline-diesel-gris-ab9c281e-1f3e-4a88-b1c1-9fcb2f9f1565,,,,Autres,Occasion,7,5,3508,6 mois,,03/2011,78 kW (106 CH),Boîte manuelle,1 598 cm³,Diesel,121 g/km (mixte),GRIS C,,Noir,18
https://www.autoscout24.fr/offres/chevrolet-aveo-1-4-16v-lt-5p-essence-noir-f5ab38a5-6167-4a82-b9cd-1060280aaaa5,,,,Berline,Occasion,5,5,2108,3 mois,,07/2009,75 kW (102 CH),Boîte manuelle,1 399 cm³,Essence,140 g/km (mixte),NOIR,,Noir,12
https://www.autoscout24.fr/offres/tesla-model-3-3-2-275-autonomie-standard-plus-electrique-noir-34af3ae5-e68c-4486-a983-bac8552c1c47,,,,Berline,Occasion,5,4,7203,,,12/2021,,Boîte automatique,,Electrique,0 g/km (mixte),NOIR,,Noir,11
https://www.autoscout24.fr/offres/audi-a1-1-4-tdi-90-ambiente-diesel-cac16650-feef-4a25-9869-6e3d58ee5819,,,,Citadine,Occasion,5,5,r0070854,6 mois,,09/2015,66 kW (90 CH),Boîte manuelle,,Diesel,91 g/km (mixte),Gris clair,,Noir,14
https://www.autoscout24.fr/offres/bmw-325-325i-218ch-excellis-steptronic-a-2-eme-main-essence-gris-b5e3c5a7-07c3-4c15-bec2-141951e26fc5,,,,Coupé,Occasion,4,2,vq9gigf,6 mois,,06/2012,160 kW (218 CH),Boîte automatique,2 996 cm³,Essence,,GRIS CLAIR,,Noir,9
https://www.autoscout24.fr/offres/dacia-duster-1-5-dci-85ch-laureate-4x2-diesel-brun-def6f264-ee62-4d65-ad8a-04ee6ce92310,,,,SUV/4x4/Pick-Up,Occasion,5,5,813,3 mois,,06/2010,63 kW (86 CH),Boîte manuelle,1 461 cm³,Diesel,135 g/km (mixte),MARRON,,Noir,5
https://www.autoscout24.fr/offres/peugeot-308-1-2-puretech-110ch-e6-c-s-u0026s-allure-essence-gris-14363057-1c84-4bf2-b8fe-8272d4752364,,,,Berline,Occasion,5,5,2077,3 mois,,03/2018,82 kW (111 CH),Boîte manuelle,1 199 cm³,Essence,113 g/km (mixte),GRIS F,,Noir,16
https://www.autoscout24.fr/offres/alfa-romeo-giulietta-1-6-jtdm-105-veloce-start-stop-diesel-bf7a9cda-43c9-443e-a61e-27412aef8933,,,,Citadine,Occasion,5,5,d138591,6 mois,,10/2012,105 kW (143 CH),Boîte manuelle,,Diesel,114 g/km (mixte),Rouge,,Noir,9
https://www.autoscout24.fr/offres/peugeot-rcz-1-6-thp-16v-156ch-essence-gris-6e655dd4-cefa-4601-9f6e-71d7cea7950b,,,,Coupé,Occasion,4,2,4501,12 mois,,08/2010,116 kW (158 CH),Boîte manuelle,1 598 cm³,Essence,149 g/km (mixte),GRIS C,Métallisé,Noir,19
https://www.autoscout24.fr/offres/kia-rio-rio-1-5-crdi-90-best-diesel-noir-f60d2447-f7de-4aa8-bae4-c2552144c379,,,,Berline,Occasion,5,5,159,3 mois,,03/2009,66 kW (90 CH),Boîte manuelle,1 460 cm³,Diesel,119 g/km (mixte),Noir,,Noir,9
https://www.autoscout24.fr/offres/hummer-h3-3-5-bva-pack-cuir-toe-essence-noir-8c764df5-2dc4-4af3-a267-9a35b4f028e2,,,,SUV/4x4/Pick-Up,Occasion,5,5,8118,,,02/2006,164 kW (223 CH),Boîte automatique,3 460 cm³,Essence,328 g/km (mixte),NOIR,,Autres,7
https://www.autoscout24.fr/offres/volkswagen-touareg-3-0-v6-tdi-204-4motion-bluemotion-carat-edition-diesel-blanc-ea703df0-e9c5-45d0-938e-1f9f8f145771,,,,SUV/4x4/Pick-Up,Occasion,5,5,jm0pvd59,6 mois,,09/2015,150 kW (204 CH),Boîte automatique,2 967 cm³,Diesel,,White,,Noir,17
https://www.autoscout24.fr/offres/peugeot-308-1-6-bluehdi-120ch-gt-line-toit-pano-carplay-u002-diesel-blanc-d5cf25f6-204f-4754-a73d-6c7e2e366769,,,,Berline,Occasion,5,5,8u7rxvco,12 mois,,12/2017,88 kW (120 CH),Boîte manuelle,1 560 cm³,Diesel,,White,,Noir,11
https://www.autoscout24.fr/offres/chevrolet-captiva-2-4-ecotec-167-2wd-lt-essence-a0e89ab7-55d2-4b87-91c0-317f88facf56,,,,SUV/4x4/Pick-Up,Occasion,7,5,r0066979,6 mois,,02/2012,123 kW (167 CH),Boîte manuelle,,Essence,210 g/km (mixte),Gris foncé,,Noir,8
https://www.autoscout24.fr/offres/toyota-rav-4-143-d-4d-2wd-design-diesel-blanc-a8f091cf-c215-47c4-bae1-9dcfaa3029b0,,,,SUV/4x4/Pick-Up,Occasion,5,5,u2qeoc5q,6 mois,,09/2017,105 kW (143 CH),Boîte manuelle,1 995 cm³,Diesel,,White,,Noir,7
https://www.autoscout24.fr/offres/peugeot-5008-active-business-1-2-pt-130cv-bva8-10825ht-7-places-essence-bleu-1a161ef9-2567-4460-8323-673c08bf9270,,,,Monospace,Occasion,7,,VRZ_8AA75B,,,06/2019,96 kW (131 CH),Boîte automatique,,Essence,,Bleu,Métallisé,Gris,6
https://www.autoscout24.fr/offres/toyota-hilux-iv-4wd-2-4-d-4d-150-xtra-cab-diesel-ed6bdd0d-683f-4468-8c1a-6bdac4a6746e,,,,SUV/4x4/Pick-Up,Occasion,4,4,2763,,,02/2019,110 kW (150 CH),Boîte automatique,,Diesel,,Gris foncé,Métallisé,Noir,5
https://www.autoscout24.fr/offres/renault-arkana-business-1-6-e-tech-hybrid-145cv-bva6-11659ht-entr-electrique-essence-gris-ee8bf120-4228-49cc-93f7-f8097f5ad253,,,,Berline,Occasion,5,,VRZ_014A72,,,06/2022,107 kW (145 CH),Boîte automatique,,,,Gris,Métallisé,Gris,17
https://www.autoscout24.fr/offres/toyota-corolla-122h-dynamic-business-electrique-essence-gris-8318459e-69be-4e8e-a7ec-8407c601244d,,,,Berline,Occasion,5,5,2jgemiy4p,6 mois,,09/2020,72 kW (98 CH),Boîte automatique,1 798 cm³,,,GRIS CLAIR,,Noir,15
https://www.autoscout24.fr/offres/peugeot-3008-1-2-puretech-130-allure-business-entretien-const-essence-blanc-45eb70a2-c30e-44ad-9e1b-732c1e27bf16,,,,SUV/4x4/Pick-Up,Occasion,5,5,r0070676,6 mois,,09/2018,96 kW (131 CH),Boîte manuelle,,Essence,118 g/km (mixte),Blanc,,Noir,13
https://www.autoscout24.fr/offres/ds-automobiles-ds-7-crossback-1-5-bluehdi-130-eat8-business-automatique-entret-diesel-c728574e-297b-47f1-9cc3-0c5a6a421fd7,,,,SUV/4x4/Pick-Up,Occasion,5,5,r0070393,6 mois,,12/2020,96 kW (131 CH),Boîte automatique,,Diesel,136 g/km (mixte),Gris foncé,,Noir,4
https://www.autoscout24.fr/offres/kia-sportage-active-business-1-6-t-gdi-265-phev-4wd-11-2022-191-electrique-essence-vert-963f3778-1b5d-4a62-ae50-bc36cedb4e31,,,,SUV/4x4/Pick-Up,Occasion,5,,VRZ_C4A339,,,11/2022,195 kW (265 CH),Boîte automatique,,,,Vert,Métallisé,Gris,18
https://www.autoscout24.fr/offres/ford-mustang-kit-shelby-tout-compris-hors-homologation-4500e-essence-rouge-d4d24557-df52-40ba-805b-bec9d9034b19,,,,Coupé,Occasion,4,4,159630,,,07/2017,233 kW (317 CH),Avant,2 300 cm³,Essence,250 g/km (mixte),Rouge,Métallisé,Noir,17
https://www.autoscout24.fr/offres/mercedes-benz-cl-320-cdi-edition-10-7g-tronic-diesel-noir-dd5a5235-6b0b-48fe-89a8-e94546c7c2a4,,,,SUV/4x4/Pick-Up,Occasion,5,5,5pmw1hf7,6 mois,,03/2008,165 kW (224 CH),Boîte automatique,2 987 cm³,Diesel,,Black,,Beige,16
https://www.autoscout24.fr/offres/citroen-berlingo-1-5-bluehdi-100-diesel-blanc-ab0296fb-297b-4510-97ca-478ff5b7866b,,,,Autres,Occasion,2,,2618,,,09/2020,55 kW (75 CH),Boîte manuelle,,Diesel,,Blanc,Métallisé,Noir,9
https://www.autoscout24.fr/offres/alfa-romeo-spider-2-2-jts-distinctive-essence-rouge-3a7c6094-d5fe-41b0-bb92-5d0492726d2d,,,,Cabriolet,Occasion,4,2,4512,12 mois,,06/2007,138 kW (188 CH),Boîte manuelle,2 198 cm³,Essence,221 g/km (mixte),ROUGE,Métallisé,Noir,7
https://www.autoscout24.fr/offres/jaguar-xf-2-7d-bi-turbo-luxe-diesel-noir-2e04376d-7c92-436a-a32a-16f6e8d55fcf,,,,Berline,Occasion,5,4,12096,,,09/2008,154 kW (209 CH),Boîte automatique,2 720 cm³,Diesel,199 g/km (mixte),NOIR,,Beige,6
https://www.autoscout24.fr/offres/peugeot-208-1-2-puretech-82ch-style-5p-essence-gris-997fe368-8b30-4610-8a59-ad75cedc8b81,,,,Berline,Occasion,5,5,2054,3 mois,,02/2017,61 kW (83 CH),Boîte manuelle,1 199 cm³,Essence,104 g/km (mixte),GRIS C,,Noir,18
https://www.autoscout24.fr/offres/audi-tt-2-0-tfsi-230ch-s-line-s-tronic-6-essence-blanc-c71ecee0-0760-45fd-823e-a33d08642a1f,,,,Coupé,Occasion,4,2,11899,,,02/2015,172 kW (234 CH),Boîte automatique,1 984 cm³,Essence,150 g/km (mixte),BLANC,,Noir,17
https://www.autoscout24.fr/offres/land-rover-range-rover-velar-2-0d-240ch-awd-bva-diesel-gris-bb09010f-bb43-44dc-ad52-b1aee8ce1f70,,,,SUV/4x4/Pick-Up,Occasion,5,5,15284,3 mois,,01/2019,179 kW (243 CH),Boîte automatique,1 999 cm³,Diesel,171 g/km (mixte),GRIS,,Noir,15
https://www.autoscout24.fr/offres/dacia-duster-dci-110-prestige-diesel-blanc-92094ba4-bffd-4ac3-b20f-0e122690ca70,,,,SUV/4x4/Pick-Up,Occasion,5,5,21m59cizk,6 mois,,03/2018,81 kW (110 CH),Boîte manuelle,1 461 cm³,Diesel,,White,,Noir,14
https://www.autoscout24.fr/offres/mercedes-benz-c-180-d-amg-line-garantie-12-mois-diesel-gris-0b6c7efc-9c27-4fec-ae79-306d529e90ef,,,,Berline,Occasion,5,4,1871,12 mois,,01/2018,85 kW (116 CH),Avant,1 598 cm³,Diesel,110 g/km (mixte),Gris sélénite,Métallisé,Noir,11
https://www.autoscout24.fr/offres/mercedes-benz-others-2-0-180-cdi-110-avantgarde-contact-cvt-bva-diesel-2a57e21b-23d5-476a-9e42-235c1782b63a,,,,Citadine,Occasion,5,5,d138787,,,02/2012,109 kW (148 CH),Boîte automatique,,Diesel,144 g/km (mixte),NOIR,,Autres,8
https://www.autoscout24.fr/offres/volkswagen-polo-1-2-70ch-united-5p-essence-gris-6c8f6915-7421-4613-8190-449e29291536,,,,Berline,Occasion,5,5,4522,6 mois,,02/2008,52 kW (71 CH),Boîte manuelle,1 198 cm³,Essence,138 g/km (mixte),GRIS,Métallisé,Noir,18
https://www.autoscout24.fr/offres/peugeot-308-1-6-bluehdi-100ch-active-s-u0026s-5p-diesel-gris-8102c597-0347-4159-a016-bdd14679d467,,,,Berline,Occasion,5,5,1978,3 mois,,09/2015,75 kW (102 CH),Boîte manuelle,1 560 cm³,Diesel,94 g/km (mixte),GRIS C,,Noir,17
https://www.autoscout24.fr/offres/mercedes-benz-glb-200-200d-150ch-amg-line-8g-dct-diesel-gris-ff78e5aa-aa8b-420c-83b5-2114d1999244,,,,SUV/4x4/Pick-Up,Occasion,7,5,12716,,,05/2022,112 kW (152 CH),Boîte automatique,1 950 cm³,Diesel,143 g/km (mixte),GRIS F,,Noir,5
https://www.autoscout24.fr/offres/bmw-118-e81-e87-118d-143ch-edition-5p-diesel-noir-a1962cf9-0f99-4388-a972-3614d7469d61,,,,Berline,Occasion,5,5,2127,6 mois,,02/2011,107 kW (145 CH),Boîte manuelle,1 995 cm³,Diesel,119 g/km (mixte),NOIR,Métallisé,Noir,18
https://www.autoscout24.fr/offres/land-rover-discovery-sport-2-0-td4-150-4wd-bva9-executive-diesel-noir-ee214567-4180-4b01-999d-dcdbdeaeee5d,,,,SUV/4x4/Pick-Up,Occasion,5,5,r0070820,6 mois,,04/2018,110 kW (150 CH),Boîte automatique,,Diesel,139 g/km (mixte),Noir,,Noir,11
https://www.autoscout24.fr/offres/peugeot-308-1-2-puretech-130ch-allure-s-u0026s-essence-blanc-3d658875-4556-4d57-8515-9035563d337e,,,,Break,Occasion,5,5,2022,3 mois,,09/2016,97 kW (132 CH),Boîte manuelle,1 199 cm³,Essence,106 g/km (mixte),BLANC,,Noir,10
https://www.autoscout24.fr/offres/toyota-hilux-iv-4wd-2-4-d-4d-150-double-cabine-diesel-blanc-0027ca3c-14a4-4f9b-9724-1d60123a13b8,,,,SUV/4x4/Pick-Up,Occasion,5,4,2573,,,02/2018,110 kW (150 CH),Boîte manuelle,,Diesel,,Blanc,Métallisé,Noir,8
https://www.autoscout24.fr/offres/seat-arona-1-5-tsi-150-dsg7-fr-automatique-entretien-constr-essence-4157d1ca-8430-4776-a439-02e8d093f82d,,,,SUV/4x4/Pick-Up,Occasion,5,5,r0069779,6 mois,,03/2021,110 kW (150 CH),Boîte automatique,,Essence,141 g/km (mixte),Gris foncé,,Gris,5
